Titulo,Artista,Album,Género,Año,Ruta
If I Only Could,Blues Company,HDtracks 2023 Hi-Res Sampler,2023-01-01T00:00:00.000Z,Blues,E:\Música\07 - If I Only Could.flac
Alone,Alan Walker,Alone,2016,(159)Electro,E:\Música\Alan Walker  Illenium\01 Alan Walker - Alone.mp3
Darkside,Alan Walker,Darkside,2018,(159)Electro,E:\Música\Alan Walker  Illenium\01 Alan Walker - Darkside.mp3
Different World,Alan Walker,Different World,2018,Elektro,E:\Música\Alan Walker  Illenium\01 Alan Walker - Different World.mp3
Faded,Alan Walker,Faded,2015,(159)Electro,E:\Música\Alan Walker  Illenium\01 Alan Walker - Faded.mp3
Routine,Alan Walker,Routine,2016,Elektro,E:\Música\Alan Walker  Illenium\01 Alan Walker - Routine.mp3
Sing Me to Sleep,Alan Walker,Sing Me to Sleep,2016,(159)Electro,E:\Música\Alan Walker  Illenium\01 Alan Walker - Sing Me to Sleep.mp3
Sky,Alan Walker,Insomniac Records Presents: EDC Las Vegas 2017,2017,Elektro,E:\Música\Alan Walker  Illenium\01 Alan Walker - Sky.mp3
The Spectre,Alan Walker,The Spectre,2017,(159)Electro,E:\Música\Alan Walker  Illenium\01 Alan Walker - The Spectre.mp3
Tired (Axollo Remix),Alan Walker,Tired (Remixes),2017,Elektro,E:\Música\Alan Walker  Illenium\01 Alan Walker - Tired (Axollo Remix).mp3
Tired,Alan Walker,Tired,2017,(159)Electro,E:\Música\Alan Walker  Illenium\01 Alan Walker - Tired.mp3
Afterlife,Illenium,Ashes,,,E:\Música\Alan Walker  Illenium\Illenium - Afterlife.mp3
Feel Something,Illenium,Feel Something,,,E:\Música\Alan Walker  Illenium\Illenium - Feel Something.mp3
First Time,Illenium,First Time,,,E:\Música\Alan Walker  Illenium\Illenium - First Time.mp3
Fortress,Illenium,Ashes,,,E:\Música\Alan Walker  Illenium\Illenium - Fortress.mp3
Hearts on Fire,Illenium,Hearts on Fire,,,E:\Música\Alan Walker  Illenium\Illenium - Hearts on Fire.mp3
Heavenly Side,Illenium,Heavenly Side,,,E:\Música\Alan Walker  Illenium\Illenium - Heavenly Side.mp3
In Your Arms (Alan Walker Remix),Illenium,In Your Arms (Alan Walker Remix),,,E:\Música\Alan Walker  Illenium\Illenium - In Your Arms (Alan Walker Remix).mp3
It’s All on U,Illenium,Ashes,,,E:\Música\Alan Walker  Illenium\Illenium - It s All on U.mp3
Nightlight,Illenium,Nightlight,,,E:\Música\Alan Walker  Illenium\Illenium - Nightlight.mp3
Paper Thin,Illenium,Paper Thin,,,E:\Música\Alan Walker  Illenium\Illenium - Paper Thin.mp3
Reverie,Illenium,Ashes,,,E:\Música\Alan Walker  Illenium\Illenium - Reverie.mp3
Sleepwalker,Illenium,Ashes,,,E:\Música\Alan Walker  Illenium\Illenium - Sleepwalker.mp3
With You,Illenium,Ashes,,,E:\Música\Alan Walker  Illenium\Illenium - With You.mp3
Rolling In The Deep,Adele,21,2011,(13)Pop,E:\Música\Clásicas\01 Adele - Rolling In The Deep.mp3
Es por Ti,Cómplices,Grandes Exitos: Complicidad,2003,(13)Pop,E:\Música\Clásicas\01 Cómplices - Es por Ti.mp3
Lamento Boliviano,Los Enanitos Verdes,Coleccion Aniversario,1999,(17)Rock,E:\Música\Clásicas\01 Los Enanitos Verdes - Lamento Boliviano.mp3
Gangnam Style (강남스타일),Psy,Gangnam Style (강남스타일),2012,(13)Pop,E:\Música\Clásicas\01 Psy - Gangnam Style (강남스타일).mp3
When the Sun Comes Down,R.I.O.,When The Sun Comes Down,2009,(159)Electro,E:\Música\Clásicas\01 R.I.O. - When the Sun Comes Down.mp3
Cancioncitas de Amor,Romeo Santos,Cancioncitas de Amor,2014,Lateinamerikanische Musik,E:\Música\Clásicas\01 Romeo Santos - Cancioncitas de Amor.mp3
Odio,Romeo Santos,Odio,2014,Lateinamerikanische Musik,E:\Música\Clásicas\01 Romeo Santos - Odio.mp3
The Rhythm of the Night,Sean Finn,The Rhythm of the Night,2019,(3)Dance,E:\Música\Clásicas\01 Sean Finn - The Rhythm of the Night.mp3
Gangsta's Paradise,Coolio,Gangsta's Paradise,1995,Rap/Hip Hop,E:\Música\Clásicas\03 Coolio - Gangsta's Paradise.mp3
The Riddle,Gigi D'Agostino,Gigi D'Agostino - L'Amour Toujours (MP3 Album),2009,(3)Dance,E:\Música\Clásicas\04 Gigi D Agostino - The Riddle.mp3
Eye of the Tiger,Survivor,Rocky IV,2006,(13)Pop,E:\Música\Clásicas\04 Survivor - Eye of the Tiger.mp3
Set Fire To The Rain,Adele,21,2011,(13)Pop,E:\Música\Clásicas\05 Adele - Set Fire To The Rain.mp3
Clocks,Coldplay,A Rush of Blood to the Head,2002,(17)Rock,E:\Música\Clásicas\05 Coldplay - Clocks.mp3
Yellow,Coldplay,Parachutes,2000,(17)Rock,E:\Música\Clásicas\05 Coldplay - Yellow.mp3
Tren Al Sur,Los Prisioneros,Corazones,,,E:\Música\Clásicas\Los Prisioneros - Tren Al Sur.mp3
La Costa Del Silencio,Mago de Oz,Gaia,,Other,E:\Música\Clásicas\Mago de Oz – La Costa Del Silencio.mp3
